Timestamp,Date,Year,Month,Day,Hour,Minute,Second,Millisecond,Market Name,Condition ID,Market Slug,Outcome,Total Invested,Cost Basis,Shares Up,Shares Down,Avg Cost Up,Avg Cost Down,Final Price Up,Final Price Down,Current Value,Realized PnL,Unrealized PnL,Total PnL,PnL %,Fees,Trades Up,Trades Down,Switch Reason
1767865495940,2026-01-08T09:44:55.940Z,2026,1,8,9,44,55,940,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,,Profit,4098.8485,4098.8485,3722.7200,4646.6800,0.588011,0.411013,0.585000,0.415000,4106.1634,0.0000,7.3149,7.3149,0.18,4.0988,1,1,Market Closed
1767865495942,2026-01-08T09:44:55.942Z,2026,1,8,9,44,55,942,"Ethereum Up or Down - January 8, 4:30AM-4:45AM ET",0xdc37a8cd6fc096598c8321a616e8e16788285dc9c349133b2e06465524298f27,,Profit,488.2765,488.2765,425.6300,704.3900,0.778180,0.222973,0.775000,0.225000,488.3510,0.0000,0.0745,0.0745,0.02,0.4883,1,1,Market Closed
1767866395924,2026-01-08T09:59:55.924Z,2026,1,8,9,59,55,924,"Bitcoin Up or Down - January 8, 4AM ET",0xfef81c17d219dc9046381d40c3597ca270ee6206ccf644c72f1df3447606946e,,UP Lost,194.6128,194.6128,815.2800,157.3800,0.072865,0.859116,0.008000,0.999500,163.8235,0.0000,-30.7892,-30.7892,-15.82,0.1946,1,1,Market Closed
1767866395929,2026-01-08T09:59:55.929Z,2026,1,8,9,59,55,929,"Ethereum Up or Down - January 8, 4AM ET",0xd2e93f9547a8ac8f24b1f3d15ed6dcab0bd2809807fc29b498239f1fe1511510,,UP Lost,531.3004,531.3004,684.7200,471.5500,0.269497,0.735384,0.008000,0.999500,476.7920,0.0000,-54.5085,-54.5085,-10.26,0.5313,1,1,Market Closed
