Timestamp,Date,Year,Month,Day,Hour,Minute,Second,Millisecond,Market Name,Condition ID,Market Slug,Outcome,Total Invested,Cost Basis,Shares Up,Shares Down,Avg Cost Up,Avg Cost Down,Final Price Up,Final Price Down,Current Value,Realized PnL,Unrealized PnL,Total PnL,PnL %,Fees,Trades Up,Trades Down,Switch Reason
1767836697863,2026-01-08T01:44:57.863Z,2026,1,8,1,44,57,863,"Bitcoin Up or Down - January 7, 8:30PM-8:45PM ET",0xbe15dad6a3bf459c83b6f189faae9f4d56d7f40181d3760251d33993dbcb246e,,UP Lost,5.3185,5.3185,38.4400,5.1300,0.005796,0.993311,0.010000,0.999500,5.5118,0.0000,0.1934,0.1934,3.64,0.0053,1,1,Market Closed
1767836697865,2026-01-08T01:44:57.865Z,2026,1,8,1,44,57,865,"Ethereum Up or Down - January 7, 8:30PM-8:45PM ET",0x2774f4cbd9b36c1e4694ba39f81acbfef765c90e4ebd0f379ff34f129fe19e9b,,UP Lost,5.1928,5.1928,10.1200,5.1100,0.010005,0.996385,0.010000,0.999500,5.2086,0.0000,0.0159,0.0159,0.31,0.0052,1,1,Market Closed
1767837595194,2026-01-08T01:59:55.194Z,2026,1,8,1,59,55,194,"Bitcoin Up or Down - January 7, 8PM ET",0x950c70e26777c19973a4430579ea2940b2a212d8d57a7958898af123a060cf0e,,UP Won,913.3488,913.3488,977.2500,797.8400,0.526140,0.500324,0.995000,0.010000,980.3421,0.0000,66.9933,66.9933,7.33,0.9133,1,1,Market Closed
1767837595197,2026-01-08T01:59:55.197Z,2026,1,8,1,59,55,197,"Ethereum Up or Down - January 7, 8PM ET",0x85feb727aed555ac9abac5773e9d1a50b7df314e7c10ec6e7dfc319193845d4c,,UP Won,117.3248,117.3248,103.4200,1072.7100,0.788682,0.033336,0.999500,0.001000,104.4410,0.0000,-12.8838,-12.8838,-10.98,0.1173,1,1,Market Closed
1767841195916,2026-01-08T02:59:55.916Z,2026,1,8,2,59,55,916,"Bitcoin Up or Down - January 7, 9PM ET",0x7e452cc59a0798691282d90b2a4bbd50db12f7612bdc4c07aa9d83412838446f,,UP Lost,187.4117,187.4117,284.6300,175.4200,0.204240,0.736967,0.005500,0.994500,176.0207,0.0000,-11.3910,-11.3910,-6.08,0.1874,1,1,Market Closed
1767841195919,2026-01-08T02:59:55.919Z,2026,1,8,2,59,55,919,"Ethereum Up or Down - January 7, 9PM ET",0xb6088c27949064e4d4e80b90b981eb3acd4fa42452a50698197a31f90697fbab,,UP Lost,730.5880,730.5880,572.1800,792.8200,0.426550,0.613664,0.005500,0.994500,791.6065,0.0000,61.0184,61.0184,8.35,0.7306,1,1,Market Closed
