Timestamp,Date,Year,Month,Day,Hour,Minute,Second,Millisecond,Market Name,Condition ID,Market Slug,Outcome,Total Invested,Cost Basis,Shares Up,Shares Down,Avg Cost Up,Avg Cost Down,Final Price Up,Final Price Down,Current Value,Realized PnL,Unrealized PnL,Total PnL,PnL %,Trades Up,Trades Down,Switch Reason
1767872696628,2026-01-08T11:44:56.628Z,2026,1,8,11,44,56,628,"Bitcoin Up or Down - January 8, 6:30AM-6:45AM ET",0x8748ba93b66dc3184d11f431ffc29467d42e19f4301fcb545b43af636b6301bf,,UP Lost,750.2947,750.2947,830.3400,645.9300,0.363635,0.694122,0.010000,0.995000,651.0037,0.0000,-99.2909,-99.2909,-13.23,1,1,Market Closed
1767872698873,2026-01-08T11:44:58.873Z,2026,1,8,11,44,58,873,"Ethereum Up or Down - January 8, 6:30AM-6:45AM ET",0xcd42448d894cbe53e50912a5cf4589313e117454d88a94dc4cb3e684fd69c3c3,,UP Lost,71.5555,71.5555,359.4300,57.3700,0.060275,0.869636,0.009000,0.999500,60.5762,0.0000,-10.9793,-10.9793,-15.34,1,1,Market Closed
1767873595162,2026-01-08T11:59:55.162Z,2026,1,8,11,59,55,162,"Bitcoin Up or Down - January 8, 6AM ET",0x3d6a7a41acc735b328c2c5df6360c455dbf0d54f02a2e440a3dba2b5828968d5,,UP Lost,153.7266,153.7266,3653.9600,119.5400,0.012814,0.894301,0.001000,0.999500,123.1342,0.0000,-30.5924,-30.5924,-19.90,1,1,Market Closed
1767873595164,2026-01-08T11:59:55.164Z,2026,1,8,11,59,55,164,"Ethereum Up or Down - January 8, 6AM ET",0x2687446918678f391c47e3957d080ca9ed2c88746a54b9f4ff4e29c48d679214,,UP Lost,106.8015,106.8015,1212.6000,79.7400,0.026856,0.930982,0.008000,0.999500,89.4009,0.0000,-17.4006,-17.4006,-16.29,1,1,Market Closed
