Timestamp,Date,Year,Month,Day,Hour,Minute,Second,Millisecond,Market Name,Condition ID,Market Slug,Outcome,Total Invested,Cost Basis,Shares Up,Shares Down,Avg Cost Up,Avg Cost Down,Final Price Up,Final Price Down,Current Value,Realized PnL,Unrealized PnL,Total PnL,PnL %,Trades Up,Trades Down,Switch Reason
1767867295132,2026-01-08T10:14:55.132Z,2026,1,8,10,14,55,132,"Bitcoin Up or Down - January 8, 5:00AM-5:15AM ET",0x0048b42300aec37d5b176ef5d2910e21f48c4a083c417af5df5c2722a05bf460,,UP Lost,702.5197,702.5197,597.3500,734.6700,0.436838,0.601051,0.010000,0.995000,736.9701,0.0000,34.4505,34.4505,4.90,1,1,Market Closed
1767867298509,2026-01-08T10:14:58.509Z,2026,1,8,10,14,58,509,"Ethereum Up or Down - January 8, 5:00AM-5:15AM ET",0xcf12a2c4c96f6dd1a52d373f3069bbe82cbc9fba01a13e964064d721b5ef27a3,,UP Lost,284.6030,284.6030,393.7800,264.2900,0.221307,0.747121,0.010000,0.990000,265.5849,0.0000,-19.0181,-19.0181,-6.68,1,1,Market Closed
1767869995885,2026-01-08T10:59:55.885Z,2026,1,8,10,59,55,885,"Bitcoin Up or Down - January 8, 5AM ET",0x7e899dc96d0b87eb774ff971ce077167d432983377d60f34edff3a5822a2173d,,UP Won,1404.4556,1404.4556,1482.2400,3914.3600,0.653415,0.111369,0.999500,0.001000,1485.4132,0.0000,80.9577,80.9577,5.76,1,1,Market Closed
1767869995890,2026-01-08T10:59:55.890Z,2026,1,8,10,59,55,890,"Ethereum Up or Down - January 8, 5AM ET",0xbd5db509f2c8eea4072d0ed4bba2d587043c8072e6b98f19df981550f60a86d1,,UP Won,1016.8149,1016.8149,1095.4800,1295.0100,0.640204,0.243615,0.999500,0.001000,1096.2273,0.0000,79.4124,79.4124,7.81,1,1,Market Closed
