Timestamp,Date,Year,Month,Day,Hour,Minute,Second,Millisecond,Market Key,Market Name,Condition ID,Invested Up ($),Invested Down ($),Total Invested ($),Shares Up,Shares Down,Final Price Up ($),Final Price Down ($),Final Value Up ($),Final Value Down ($),Total Final Value ($),PnL Up ($),PnL Down ($),Total PnL ($),PnL Percent (%),Average Cost Per Share UP ($),Average Cost Per Share DOWN ($),Trades Up,Trades Down,Outcome,Market Switch Reason,Market Slug
1767872103384,2026-01-08T11:35:03.384Z,2026,1,8,11,35,3,384,BTC-UpDown-15,"Bitcoin Up or Down - January 8, 6:30AM-6:45AM ET (Snapshot at new market: Ethereum Up or Down - January 8, 6:30AM-6:45AM ET)",0x8748ba93b66dc3184d11f431ffc29467d42e19f4301fcb545b43af636b6301bf,14.98,13.86,28.84,28.7600,28.9000,0.4100,0.5900,11.79,17.05,28.84,-3.19,3.19,0.01,0.02,0.5209,0.4795,1,1,Profit,New Market Snapshot,btc-updown-15m-1767871800
1767872103497,2026-01-08T11:35:03.497Z,2026,1,8,11,35,3,497,BTC-UpDown-15,"Bitcoin Up or Down - January 8, 6:30AM-6:45AM ET (Snapshot at new market: Bitcoin Up or Down - January 8, 6AM ET)",0x8748ba93b66dc3184d11f431ffc29467d42e19f4301fcb545b43af636b6301bf,14.98,13.86,28.84,28.7600,28.9000,0.4450,0.5550,12.80,16.04,28.84,-2.18,2.18,0.00,0.00,0.5209,0.4795,1,1,Profit,New Market Snapshot,btc-updown-15m-1767871800
1767872103527,2026-01-08T11:35:03.527Z,2026,1,8,11,35,3,527,ETH-UpDown-15,"Ethereum Up or Down - January 8, 6:30AM-6:45AM ET (Snapshot at new market: Bitcoin Up or Down - January 8, 6AM ET)",0xcd42448d894cbe53e50912a5cf4589313e117454d88a94dc4cb3e684fd69c3c3,0.83,16.23,17.06,3.7000,20.9600,0.2550,0.7450,0.94,15.62,16.56,0.11,-0.61,-0.50,-2.92,0.2247,0.7741,1,1,Loss,New Market Snapshot,eth-updown-15m-1767871800
1767872103649,2026-01-08T11:35:03.649Z,2026,1,8,11,35,3,649,BTC-UpDown-15,"Bitcoin Up or Down - January 8, 6:30AM-6:45AM ET (Snapshot at new market: Ethereum Up or Down - January 8, 6AM ET)",0x8748ba93b66dc3184d11f431ffc29467d42e19f4301fcb545b43af636b6301bf,14.98,13.86,28.84,28.7600,28.9000,0.4450,0.5550,12.80,16.04,28.84,-2.18,2.18,0.00,0.00,0.5209,0.4795,1,1,Profit,New Market Snapshot,btc-updown-15m-1767871800
1767872103703,2026-01-08T11:35:03.703Z,2026,1,8,11,35,3,703,ETH-UpDown-15,"Ethereum Up or Down - January 8, 6:30AM-6:45AM ET (Snapshot at new market: Ethereum Up or Down - January 8, 6AM ET)",0xcd42448d894cbe53e50912a5cf4589313e117454d88a94dc4cb3e684fd69c3c3,0.83,16.23,17.06,3.7000,20.9600,0.2550,0.7450,0.94,15.62,16.56,0.11,-0.61,-0.50,-2.92,0.2247,0.7741,1,1,Loss,New Market Snapshot,eth-updown-15m-1767871800
1767872103740,2026-01-08T11:35:03.740Z,2026,1,8,11,35,3,740,BTC-UpDown-1h-6,"Bitcoin Up or Down - January 8, 6AM ET (Snapshot at new market: Ethereum Up or Down - January 8, 6AM ET)",0x3d6a7a41acc735b328c2c5df6360c455dbf0d54f02a2e440a3dba2b5828968d5,0.35,11.39,11.74,2.2600,13.4800,0.1650,0.8350,0.37,11.26,11.63,0.02,-0.13,-0.11,-0.94,0.1553,0.8448,1,1,Loss,New Market Snapshot,bitcoin-up-or-down-january-8-6am-et
1767872702326,2026-01-08T11:45:02.326Z,2026,1,8,11,45,2,326,ETH-UpDown-15,"Ethereum Up or Down - January 8, 7:00AM-7:15AM ET",0xcd42448d894cbe53e50912a5cf4589313e117454d88a94dc4cb3e684fd69c3c3,0.02,0.06,0.08,2.7300,0.0600,0.0040,0.9960,0.01,0.06,0.07,-0.01,-0.00,-0.01,-16.35,0.0090,0.9986,1,1,UP Lost,Market Closed,eth-updown-15m-1767873600
1767872704530,2026-01-08T11:45:04.530Z,2026,1,8,11,45,4,530,BTC-UpDown-1h-6,"Bitcoin Up or Down - January 8, 6AM ET (Snapshot at new market: Ethereum Up or Down - January 8, 6:45AM-7:00AM ET)",0x3d6a7a41acc735b328c2c5df6360c455dbf0d54f02a2e440a3dba2b5828968d5,30.65,68.57,99.21,243.6700,79.9300,0.2450,0.7550,59.70,60.35,120.05,29.05,-8.22,20.83,21.00,0.1258,0.8578,106,90,Profit,New Market Snapshot,bitcoin-up-or-down-january-8-6am-et
1767872704559,2026-01-08T11:45:04.559Z,2026,1,8,11,45,4,559,ETH-UpDown-1h-6,"Ethereum Up or Down - January 8, 6AM ET (Snapshot at new market: Ethereum Up or Down - January 8, 6:45AM-7:00AM ET)",0x2687446918678f391c47e3957d080ca9ed2c88746a54b9f4ff4e29c48d679214,17.60,39.51,57.11,192.8900,44.2000,0.1700,0.8300,32.79,36.69,69.48,15.19,-2.82,12.37,21.66,0.0912,0.8939,85,67,Profit,New Market Snapshot,ethereum-up-or-down-january-8-6am-et
1767872704587,2026-01-08T11:45:04.587Z,2026,1,8,11,45,4,587,BTC-UpDown-15,"Bitcoin Up or Down - January 8, 7:00AM-7:15AM ET (Snapshot at new market: Ethereum Up or Down - January 8, 6:45AM-7:00AM ET)",0x8dc36376a4f5f30d26e2ef5a81ff632dabaf00ca094feb10d24f655020e851a9,15.00,12.19,27.19,27.0600,27.4200,0.0100,0.9900,0.27,27.15,27.42,-14.73,14.96,0.23,0.83,0.5544,0.4445,1,1,UP Lost,New Market Snapshot,btc-updown-15m-1767873600
