Timestamp,Date,Time,Trade ID,Side,Market,Outcome,Condition ID,Token ID,Size,Price,USDC Value,Balance After,Strategy,Status
2026-01-08T11:35:09.204Z,1/8/2026,11:35:09 AM,paper_1767872109204_3vijns78l,BUY,"Ethereum Up or Down - January 8, 6:30AM-6:45AM ET",Up,0xcd42448d894cbe53e50912a5cf4589313e117454d88a94dc4cb3e684fd69c3c3,101575171916879891478954061595881623623980891644266157744130925293917598947301,2.5200,0.1852,0.47,9901.29,inventory-rebalancing,filled
2026-01-08T11:35:09.280Z,1/8/2026,11:35:09 AM,paper_1767872109280_08ypv0o4y,BUY,"Bitcoin Up or Down - January 8, 6AM ET",Up,0x3d6a7a41acc735b328c2c5df6360c455dbf0d54f02a2e440a3dba2b5828968d5,78066264955608331453782393322827480027742257997488697759837948356955559373604,2.2200,0.1347,0.30,9900.99,inventory-rebalancing,filled
2026-01-08T11:35:09.311Z,1/8/2026,11:35:09 AM,paper_1767872109311_yp5mprsxh,BUY,"Ethereum Up or Down - January 8, 6AM ET",Up,0x2687446918678f391c47e3957d080ca9ed2c88746a54b9f4ff4e29c48d679214,42375110701081380759607661294966661212238590577680769528916988296676175290359,2.2100,0.1248,0.28,9900.72,inventory-rebalancing,filled
2026-01-08T11:35:10.349Z,1/8/2026,11:35:10 AM,paper_1767872110349_d4ucpx6vu,BUY,"Ethereum Up or Down - January 8, 6:30AM-6:45AM ET",Up,0xcd42448d894cbe53e50912a5cf4589313e117454d88a94dc4cb3e684fd69c3c3,101575171916879891478954061595881623623980891644266157744130925293917598947301,2.5200,0.1846,0.47,9900.25,inventory-rebalancing,filled
2026-01-08T11:35:11.403Z,1/8/2026,11:35:11 AM,paper_1767872111403_7z46hdvq3,BUY,"Ethereum Up or Down - January 8, 6:30AM-6:45AM ET",Up,0xcd42448d894cbe53e50912a5cf4589313e117454d88a94dc4cb3e684fd69c3c3,101575171916879891478954061595881623623980891644266157744130925293917598947301,2.5200,0.1848,0.47,9899.79,inventory-rebalancing,filled
2026-01-08T11:35:12.439Z,1/8/2026,11:35:12 AM,paper_1767872112439_6bljir6pi,BUY,"Ethereum Up or Down - January 8, 6:30AM-6:45AM ET",Up,0xcd42448d894cbe53e50912a5cf4589313e117454d88a94dc4cb3e684fd69c3c3,101575171916879891478954061595881623623980891644266157744130925293917598947301,2.4600,0.1747,0.43,9899.36,inventory-rebalancing,filled
2026-01-08T11:35:12.472Z,1/8/2026,11:35:12 AM,paper_1767872112472_79epibja1,BUY,"Bitcoin Up or Down - January 8, 6AM ET",Up,0x3d6a7a41acc735b328c2c5df6360c455dbf0d54f02a2e440a3dba2b5828968d5,78066264955608331453782393322827480027742257997488697759837948356955559373604,2.2200,0.1350,0.30,9899.06,inventory-rebalancing,filled
2026-01-08T11:35:12.501Z,1/8/2026,11:35:12 AM,paper_1767872112501_lqyhfoeb7,BUY,"Ethereum Up or Down - January 8, 6AM ET",Up,0x2687446918678f391c47e3957d080ca9ed2c88746a54b9f4ff4e29c48d679214,42375110701081380759607661294966661212238590577680769528916988296676175290359,2.2000,0.1149,0.25,9898.80,inventory-rebalancing,filled
2026-01-08T11:35:13.534Z,1/8/2026,11:35:13 AM,paper_1767872113534_a7u7bva0y,BUY,"Ethereum Up or Down - January 8, 6:30AM-6:45AM ET",Up,0xcd42448d894cbe53e50912a5cf4589313e117454d88a94dc4cb3e684fd69c3c3,101575171916879891478954061595881623623980891644266157744130925293917598947301,2.4600,0.1752,0.43,9898.37,inventory-rebalancing,filled
2026-01-08T11:35:14.566Z,1/8/2026,11:35:14 AM,paper_1767872114566_2prjge6h8,BUY,"Ethereum Up or Down - January 8, 6:30AM-6:45AM ET",Up,0xcd42448d894cbe53e50912a5cf4589313e117454d88a94dc4cb3e684fd69c3c3,101575171916879891478954061595881623623980891644266157744130925293917598947301,2.4600,0.1751,0.43,9897.94,inventory-rebalancing,filled
