Timestamp,Date,Year,Month,Day,Hour,Minute,Second,Millisecond,Market Key,Market Name,Condition ID,Invested Up ($),Invested Down ($),Total Invested ($),Shares Up,Shares Down,Final Price Up ($),Final Price Down ($),Final Value Up ($),Final Value Down ($),Total Final Value ($),PnL Up ($),PnL Down ($),Total PnL ($),PnL Percent (%),Average Cost Per Share UP ($),Average Cost Per Share DOWN ($),Trades Up,Trades Down,Outcome,Market Switch Reason,Market Slug
1767902400221,2026-01-08T20:00:00.221Z,2026,1,8,20,0,0,221,ETH-UpDown-1h-2,"Ethereum Up or Down - January 8, 2PM ET",0x811de8a9693e85cce2528cd074b63cf3c593d39fc842466b174d2d776b000e5f,534.67,752.63,1287.29,1774.0600,1281.5500,0.0200,0.9800,35.48,1255.92,1291.40,-499.19,503.29,4.11,0.32,0.3014,0.5873,193,186,Profit,Market Closed,ethereum-up-or-down-january-8-2pm-et
1767902400227,2026-01-08T20:00:00.227Z,2026,1,8,20,0,0,227,BTC-UpDown-1h-2,"Bitcoin Up or Down - January 8, 2PM ET",0x9fcbaee4baef9f22b09be435d517f59e5a13f11b74baedb01890f135a212ec2f,667.24,832.02,1499.25,1497.9100,1525.0400,0.0200,0.9800,29.96,1494.54,1524.50,-637.28,662.52,25.25,1.68,0.4454,0.5456,160,161,Profit,Market Closed,bitcoin-up-or-down-january-8-2pm-et
1767902401424,2026-01-08T20:00:01.424Z,2026,1,8,20,0,1,424,BTC-UpDown-15,"Bitcoin Up or Down - January 8, 3:15PM-3:30PM ET (Snapshot at new market: Bitcoin Up or Down - January 8, 2PM ET)",0x6fa010d223f7dc87703ac2e24c54a0fa326e801f45c44b337935db1961acdf58,0.02,0.58,0.60,18.7000,0.5800,0.0055,0.9945,0.10,0.58,0.68,0.08,-0.00,0.08,13.52,0.0010,1.0000,1,1,UP Lost,New Market Snapshot,btc-updown-15m-1767903300
1767902401494,2026-01-08T20:00:01.494Z,2026,1,8,20,0,1,494,ETH-UpDown-15,"Ethereum Up or Down - January 8, 3:15PM-3:30PM ET (Snapshot at new market: Bitcoin Up or Down - January 8, 2PM ET)",0x9b98b1fb12599e79aeca356c375a2ed6232d9f492f975dc12d2554fd7226fb4a,0.02,2.11,2.13,18.7000,2.1100,0.0150,0.9850,0.28,2.08,2.36,0.26,-0.03,0.23,10.67,0.0010,1.0012,1,1,Profit,New Market Snapshot,eth-updown-15m-1767903300
1767902401566,2026-01-08T20:00:01.566Z,2026,1,8,20,0,1,566,ETH-UpDown-15,"Ethereum Up or Down - January 8, 3:15PM-3:30PM ET",0x9b98b1fb12599e79aeca356c375a2ed6232d9f492f975dc12d2554fd7226fb4a,0.02,2.11,2.13,18.7000,2.1100,0.0150,0.9850,0.28,2.08,2.36,0.26,-0.03,0.23,10.67,0.0010,1.0012,1,1,Profit,Market Closed,eth-updown-15m-1767903300
1767902401572,2026-01-08T20:00:01.572Z,2026,1,8,20,0,1,572,BTC-UpDown-15,"Bitcoin Up or Down - January 8, 3:15PM-3:30PM ET",0x6fa010d223f7dc87703ac2e24c54a0fa326e801f45c44b337935db1961acdf58,0.02,0.58,0.60,18.7000,0.5800,0.0055,0.9945,0.10,0.58,0.68,0.08,-0.00,0.08,13.52,0.0010,1.0000,1,1,UP Lost,Market Closed,btc-updown-15m-1767903300
1767902410455,2026-01-08T20:00:10.455Z,2026,1,8,20,0,10,455,BTC-UpDown-15,"Bitcoin Up or Down - January 8, 3:00PM-3:15PM ET (Snapshot at new market: Ethereum Up or Down - January 8, 3:00PM-3:15PM ET)",0x2a95b2f0f764789308f66908c931b5f7a561ba815b0a3f32ec28adbf9d32d125,11.31,15.01,26.33,26.5800,26.1000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.4256,0.5753,1,1,UP Lost,New Market Snapshot,btc-updown-15m-1767902400
1767903304180,2026-01-08T20:15:04.180Z,2026,1,8,20,15,4,180,BTC-UpDown-15,"Bitcoin Up or Down - January 8, 3:30PM-3:45PM ET (Snapshot at new market: Ethereum Up or Down - January 8, 3:15PM-3:30PM ET)",0xdcebcc7e742553665ea5abfb292fb642f10f037e27d39c05323bc200c4bfe3e5,14.97,13.16,28.13,28.0300,28.2600,0.0100,0.9995,0.28,28.25,28.53,-14.69,15.09,0.40,1.41,0.5342,0.4656,1,1,UP Lost,New Market Snapshot,btc-updown-15m-1767904200
1767903915337,2026-01-08T20:25:15.337Z,2026,1,8,20,25,15,337,BTC-UpDown-15,"Bitcoin Up or Down - January 8, 3:30PM-3:45PM ET (Snapshot at new market: Bitcoin Up or Down - January 8, 3PM ET)",0xdcebcc7e742553665ea5abfb292fb642f10f037e27d39c05323bc200c4bfe3e5,1446.95,1800.88,3247.83,3083.2600,3226.0000,0.5650,0.4350,1742.04,1403.31,3145.35,295.09,-397.57,-102.48,-3.16,0.4693,0.5582,149,149,Loss,New Market Snapshot,btc-updown-15m-1767904200
1767903915393,2026-01-08T20:25:15.393Z,2026,1,8,20,25,15,393,ETH-UpDown-15,"Ethereum Up or Down - January 8, 3:15PM-3:30PM ET (Snapshot at new market: Bitcoin Up or Down - January 8, 3PM ET)",0xa5bfcba3995e6ebe1d74f6883666514a17e412bba7310b6a005e08de0a47f115,1406.31,1042.18,2448.49,2500.4900,2240.2100,0.5050,0.4950,1262.75,1108.90,2371.65,-143.56,66.72,-76.84,-3.14,0.5624,0.4652,110,110,Loss,New Market Snapshot,eth-updown-15m-1767903300
