Market Name,Time,PnL
"Bitcoin Up or Down - January 7, 8:45PM-9:00PM ET",01:44:57 AM,+$0.14
"Ethereum Up or Down - January 7, 8:45PM-9:00PM ET",01:44:57 AM,+$0.02
"Bitcoin Up or Down - January 7, 8PM ET",01:59:55 AM,+$66.99
"Ethereum Up or Down - January 7, 8PM ET",01:59:55 AM,$-12.88
"Bitcoin Up or Down - January 7, 9PM ET",02:59:55 AM,$-11.39
"Ethereum Up or Down - January 7, 9PM ET",02:59:55 AM,+$61.02
