Market Name,Time,PnL
"Ethereum Up or Down - January 6, 6:30AM-6:45AM ET",11:44:55 AM,$-11.35
"Bitcoin Up or Down - January 6, 6:45AM-7:00AM ET",11:44:57 AM,$-5.39
