Market Name,Time,PnL
"Bitcoin Up or Down - January 5, 8:15PM-8:30PM ET",01:14:55 AM,+$2.44
"Ethereum Up or Down - January 5, 8:15PM-8:30PM ET",01:14:56 AM,+$0.09
"Bitcoin Up or Down - January 5, 8PM ET",01:59:55 AM,+$97.86
"Ethereum Up or Down - January 5, 8PM ET",01:59:55 AM,+$17.94
