Timestamp,Date,Year,Month,Day,Hour,Minute,Second,Millisecond,Market Key,Market Name,Condition ID,Invested Up ($),Invested Down ($),Total Invested ($),Shares Up,Shares Down,Final Price Up ($),Final Price Down ($),Final Value Up ($),Final Value Down ($),Total Final Value ($),PnL Up ($),PnL Down ($),Total PnL ($),PnL Percent (%),Average Cost Per Share UP ($),Average Cost Per Share DOWN ($),Trades Up,Trades Down,Outcome,Market Switch Reason,Market Slug
1767865030381,2026-01-08T09:37:10.381Z,2026,1,8,9,37,10,381,BTC-UpDown-15,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET (Snapshot at new market: Ethereum Up or Down - January 8, 4:30AM-4:45AM ET)",0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,16.03,0.72,16.75,20.3900,3.3300,0.7750,0.2250,15.80,0.75,16.55,-0.23,0.03,-0.20,-1.18,0.7863,0.2154,1,1,Loss,New Market Snapshot,btc-updown-15m-1767864600
1767865030475,2026-01-08T09:37:10.475Z,2026,1,8,9,37,10,475,BTC-UpDown-15,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET (Snapshot at new market: Bitcoin Up or Down - January 8, 4AM ET)",0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,16.03,0.72,16.75,20.3900,3.3300,0.7750,0.2250,15.80,0.75,16.55,-0.23,0.03,-0.20,-1.18,0.7863,0.2154,1,1,Loss,New Market Snapshot,btc-updown-15m-1767864600
1767865030506,2026-01-08T09:37:10.506Z,2026,1,8,9,37,10,506,ETH-UpDown-15,"Ethereum Up or Down - January 8, 4:30AM-4:45AM ET (Snapshot at new market: Bitcoin Up or Down - January 8, 4AM ET)",0xdc37a8cd6fc096598c8321a616e8e16788285dc9c349133b2e06465524298f27,13.86,0.32,14.18,16.1200,2.2800,0.8650,0.1350,13.94,0.31,14.25,0.08,-0.01,0.07,0.52,0.8597,0.1398,1,1,Profit,New Market Snapshot,eth-updown-15m-1767864600
1767865030605,2026-01-08T09:37:10.605Z,2026,1,8,9,37,10,605,BTC-UpDown-15,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET (Snapshot at new market: Ethereum Up or Down - January 8, 4AM ET)",0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,16.03,0.72,16.75,20.3900,3.3300,0.7750,0.2250,15.80,0.75,16.55,-0.23,0.03,-0.20,-1.18,0.7863,0.2154,1,1,Loss,New Market Snapshot,btc-updown-15m-1767864600
1767865030633,2026-01-08T09:37:10.633Z,2026,1,8,9,37,10,633,ETH-UpDown-15,"Ethereum Up or Down - January 8, 4:30AM-4:45AM ET (Snapshot at new market: Ethereum Up or Down - January 8, 4AM ET)",0xdc37a8cd6fc096598c8321a616e8e16788285dc9c349133b2e06465524298f27,13.86,0.32,14.18,16.1200,2.2800,0.8650,0.1350,13.94,0.31,14.25,0.08,-0.01,0.07,0.52,0.8597,0.1398,1,1,Profit,New Market Snapshot,eth-updown-15m-1767864600
1767865030661,2026-01-08T09:37:10.661Z,2026,1,8,9,37,10,661,BTC-UpDown-1h-4,"Bitcoin Up or Down - January 8, 4AM ET (Snapshot at new market: Ethereum Up or Down - January 8, 4AM ET)",0xfef81c17d219dc9046381d40c3597ca270ee6206ccf644c72f1df3447606946e,0.98,13.34,14.31,3.9900,17.6700,0.2650,0.7350,1.06,12.99,14.04,0.08,-0.35,-0.27,-1.87,0.2449,0.7547,1,1,Loss,New Market Snapshot,bitcoin-up-or-down-january-8-4am-et
1767865501426,2026-01-08T09:45:01.426Z,2026,1,8,9,45,1,426,ETH-UpDown-15,"Ethereum Up or Down - January 8, 5:00AM-5:15AM ET",0xdc37a8cd6fc096598c8321a616e8e16788285dc9c349133b2e06465524298f27,1.06,0.50,1.56,1.3600,2.2200,0.9950,0.0050,1.35,0.01,1.36,0.30,-0.49,-0.19,-12.30,0.7761,0.2253,1,1,UP Won,Market Closed,eth-updown-15m-1767866400
1767865503537,2026-01-08T09:45:03.537Z,2026,1,8,9,45,3,537,BTC-UpDown-1h-4,"Bitcoin Up or Down - January 8, 4AM ET (Snapshot at new market: Ethereum Up or Down - January 8, 4:30AM-4:45AM ET)",0xfef81c17d219dc9046381d40c3597ca270ee6206ccf644c72f1df3447606946e,46.50,102.30,148.81,308.0100,121.6100,0.1350,0.8650,41.58,105.19,146.77,-4.92,2.89,-2.03,-1.37,0.1510,0.8413,132,127,Loss,New Market Snapshot,bitcoin-up-or-down-january-8-4am-et
1767865503636,2026-01-08T09:45:03.636Z,2026,1,8,9,45,3,636,ETH-UpDown-1h-4,"Ethereum Up or Down - January 8, 4AM ET (Snapshot at new market: Ethereum Up or Down - January 8, 4:30AM-4:45AM ET)",0xd2e93f9547a8ac8f24b1f3d15ed6dcab0bd2809807fc29b498239f1fe1511510,59.81,129.70,189.52,312.1500,161.0100,0.2550,0.7450,79.60,119.95,199.55,19.79,-9.75,10.03,5.29,0.1916,0.8056,128,124,Profit,New Market Snapshot,ethereum-up-or-down-january-8-4am-et
1767865503669,2026-01-08T09:45:03.669Z,2026,1,8,9,45,3,669,BTC-UpDown-15,"Bitcoin Up or Down - January 8, 5:00AM-5:15AM ET (Snapshot at new market: Ethereum Up or Down - January 8, 4:30AM-4:45AM ET)",0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,7.47,6.51,13.98,12.7500,15.6900,0.8400,0.1600,10.71,2.51,13.22,3.24,-4.00,-0.76,-5.46,0.5861,0.4150,1,1,Loss,New Market Snapshot,btc-updown-15m-1767866400
1767865503776,2026-01-08T09:45:03.776Z,2026,1,8,9,45,3,776,BTC-UpDown-15,"Bitcoin Up or Down - January 8, 5:00AM-5:15AM ET",0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,7.47,6.51,13.98,12.7500,15.6900,0.8400,0.1600,10.71,2.51,13.22,3.24,-4.00,-0.76,-5.46,0.5861,0.4150,1,1,Loss,Market Closed,btc-updown-15m-1767866400
1767865505014,2026-01-08T09:45:05.014Z,2026,1,8,9,45,5,14,BTC-UpDown-1h-4,"Bitcoin Up or Down - January 8, 4AM ET (Snapshot at new market: Ethereum Up or Down - January 8, 4:30AM-4:45AM ET)",0xfef81c17d219dc9046381d40c3597ca270ee6206ccf644c72f1df3447606946e,46.50,102.30,148.81,308.0100,121.6100,0.1350,0.8650,41.58,105.19,146.77,-4.92,2.89,-2.03,-1.37,0.1510,0.8413,132,127,Loss,New Market Snapshot,bitcoin-up-or-down-january-8-4am-et
1767865505046,2026-01-08T09:45:05.046Z,2026,1,8,9,45,5,46,ETH-UpDown-1h-4,"Ethereum Up or Down - January 8, 4AM ET (Snapshot at new market: Ethereum Up or Down - January 8, 4:30AM-4:45AM ET)",0xd2e93f9547a8ac8f24b1f3d15ed6dcab0bd2809807fc29b498239f1fe1511510,59.81,129.70,189.52,312.1500,161.0100,0.2550,0.7450,79.60,119.95,199.55,19.79,-9.75,10.03,5.29,0.1916,0.8056,128,124,Profit,New Market Snapshot,ethereum-up-or-down-january-8-4am-et
1767865507339,2026-01-08T09:45:07.339Z,2026,1,8,9,45,7,339,BTC-UpDown-1h-4,"Bitcoin Up or Down - January 8, 4AM ET (Snapshot at new market: Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET)",0xfef81c17d219dc9046381d40c3597ca270ee6206ccf644c72f1df3447606946e,46.81,102.99,149.81,310.2400,122.4100,0.1350,0.8650,41.88,105.88,147.77,-4.93,2.89,-2.04,-1.36,0.1509,0.8414,133,128,Loss,New Market Snapshot,bitcoin-up-or-down-january-8-4am-et
1767865507370,2026-01-08T09:45:07.370Z,2026,1,8,9,45,7,370,ETH-UpDown-1h-4,"Ethereum Up or Down - January 8, 4AM ET (Snapshot at new market: Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET)",0xd2e93f9547a8ac8f24b1f3d15ed6dcab0bd2809807fc29b498239f1fe1511510,60.24,130.65,190.89,314.4900,162.1700,0.2550,0.7450,80.19,120.82,201.01,19.95,-9.83,10.12,5.30,0.1916,0.8056,129,125,Profit,New Market Snapshot,ethereum-up-or-down-january-8-4am-et
