Market Name,Time,PnL
"Bitcoin Up or Down - January 8, 6:45AM-7:00AM ET",11:44:56 AM,$-99.50
"Ethereum Up or Down - January 8, 6:45AM-7:00AM ET",11:44:58 AM,$-14.90
"Bitcoin Up or Down - January 8, 6AM ET",11:59:55 AM,$-30.59
"Ethereum Up or Down - January 8, 6AM ET",11:59:55 AM,$-17.40
