Timestamp,Date,Year,Month,Day,Hour,Minute,Second,Millisecond,Market Key,Market Name,Condition ID,Invested Up ($),Invested Down ($),Total Invested ($),Shares Up,Shares Down,Final Price Up ($),Final Price Down ($),Final Value Up ($),Final Value Down ($),Total Final Value ($),PnL Up ($),PnL Down ($),Total PnL ($),PnL Percent (%),Average Cost Per Share UP ($),Average Cost Per Share DOWN ($),Trades Up,Trades Down,Outcome,Market Switch Reason,Market Slug
1767662102743,2026-01-06T01:15:02.743Z,2026,1,6,1,15,2,743,BTC-UpDown-15,"Bitcoin Up or Down - January 5, 8:30PM-8:45PM ET",0x40b89853bc6784b273e43808871bb36d3398d322743b31c95dc7059740b84914,0.00,0.03,0.03,0.0000,2.5300,0.7150,0.2849,0.00,0.72,0.72,0.00,0.70,0.70,2747.88,,0.0100,0,1,Profit,Market Closed,btc-updown-15m-1767663000
1767662104828,2026-01-06T01:15:04.828Z,2026,1,6,1,15,4,828,BTC-UpDown-1h-8,"Bitcoin Up or Down - January 5, 8PM ET",0xc8416d9ebf38ac2829525f143b58841f7761d21d4f187879facb4ac7f9b72dd7,0.00,0.00,0.00,0.0000,0.0000,0.5699,0.4300,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0,0,Unknown,Market Closed,bitcoin-up-or-down-january-5-8pm-et
1767662104859,2026-01-06T01:15:04.859Z,2026,1,6,1,15,4,859,ETH-UpDown-1h-8,"Ethereum Up or Down - January 5, 8PM ET",0xdc8404751ffcd667cc3e44c56bb110adbd2699ba1caae4ad883dd1b3cf714f7f,0.00,0.00,0.00,0.0000,0.0000,0.7300,0.2700,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0,0,Unknown,Market Closed,ethereum-up-or-down-january-5-8pm-et
1767662111333,2026-01-06T01:15:11.333Z,2026,1,6,1,15,11,333,ETH-UpDown-15,"Ethereum Up or Down - January 5, 8:30PM-8:45PM ET",0xffe6be81dda2d4fcd5e303dc2dbeb5665cc04dd53226ebaaa01d32941b637cc3,0.00,0.03,0.03,0.0000,2.5300,0.9250,0.0750,0.00,0.19,0.19,0.00,0.16,0.16,650.20,,0.0100,0,1,Profit,Market Closed,eth-updown-15m-1767663000
1767662119923,2026-01-06T01:15:19.923Z,2026,1,6,1,15,19,923,BTC-UpDown-15,"Bitcoin Up or Down - January 5, 8:00PM-8:15PM ET (Snapshot at new market: Ethereum Up or Down - January 5, 8:00PM-8:15PM ET)",0x40b89853bc6784b273e43808871bb36d3398d322743b31c95dc7059740b84914,0.00,0.03,0.03,0.0000,2.5300,0.0000,0.2849,0.00,0.72,0.72,0.00,0.70,0.70,2749.02,,0.0100,0,1,UP Lost,New Market Snapshot,btc-updown-15m-1767661200
1767662127551,2026-01-06T01:15:27.551Z,2026,1,6,1,15,27,551,BTC-UpDown-15,"Bitcoin Up or Down - January 5, 8:15PM-8:30PM ET (Snapshot at new market: Ethereum Up or Down - January 5, 8:15PM-8:30PM ET)",0x87ae414d3203677dbace48c2c6eed8e35c65640131627cd7d560fa13a950ae6f,15.01,11.74,26.75,26.5800,27.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.5647,0.4348,1,1,UP Lost,New Market Snapshot,btc-updown-15m-1767662100
1767662967978,2026-01-06T01:29:27.978Z,2026,1,6,1,29,27,978,BTC-UpDown-15,"Bitcoin Up or Down - January 5, 8:15PM-8:30PM ET (Snapshot at new market: Bitcoin Up or Down - January 5, 8PM ET)",0x87ae414d3203677dbace48c2c6eed8e35c65640131627cd7d560fa13a950ae6f,638.15,394.04,1032.19,1036.4700,902.3200,0.8900,0.1100,922.46,99.26,1021.71,284.31,-294.78,-10.47,-1.01,0.6157,0.4367,70,70,Loss,New Market Snapshot,btc-updown-15m-1767662100
1767662968010,2026-01-06T01:29:28.010Z,2026,1,6,1,29,28,10,ETH-UpDown-15,"Ethereum Up or Down - January 5, 8:15PM-8:30PM ET (Snapshot at new market: Bitcoin Up or Down - January 5, 8PM ET)",0x954de19ae90ddf28c14d8547da9b57a951743f061adf806dcc84a34df547e1a4,598.15,333.13,931.28,970.2400,809.5700,0.9950,0.0100,965.39,8.10,973.48,367.24,-325.03,42.20,4.53,0.6165,0.4115,76,76,UP Won,New Market Snapshot,eth-updown-15m-1767662100
1767663322772,2026-01-06T01:35:22.772Z,2026,1,6,1,35,22,772,BTC-UpDown-1h-8,"Bitcoin Up or Down - January 5, 8PM ET (Snapshot at new market: Ethereum Up or Down - January 5, 8PM ET)",0xc8416d9ebf38ac2829525f143b58841f7761d21d4f187879facb4ac7f9b72dd7,17.38,7.92,25.29,19.8200,60.2500,0.7750,0.2250,15.36,13.56,28.92,-2.02,5.64,3.62,14.32,0.8768,0.1314,12,27,Profit,New Market Snapshot,bitcoin-up-or-down-january-5-8pm-et
1767663322803,2026-01-06T01:35:22.803Z,2026,1,6,1,35,22,803,BTC-UpDown-15,"Bitcoin Up or Down - January 5, 8:45PM-9:00PM ET (Snapshot at new market: Ethereum Up or Down - January 5, 8PM ET)",0xddbeb0c0b72719e51d7062249aef1bdedac67ee96b7ea49c772121c99d716c3e,119.15,235.72,354.87,319.1100,363.6100,0.4650,0.5350,148.39,194.53,342.92,29.23,-41.19,-11.96,-3.37,0.3734,0.6483,32,30,Loss,New Market Snapshot,btc-updown-15m-1767663900
