Market Name,Time,PnL
"Bitcoin Up or Down - January 8, 5:15AM-5:30AM ET",10:14:55 AM,+$34.45
"Ethereum Up or Down - January 8, 5:15AM-5:30AM ET",10:14:58 AM,$-19.02
"Bitcoin Up or Down - January 8, 5AM ET",10:59:55 AM,+$80.96
"Ethereum Up or Down - January 8, 5AM ET",10:59:55 AM,+$79.41
