Market Name,Time,PnL
"Bitcoin Up or Down - January 8, 4:45AM-5:00AM ET",09:44:55 AM,+$10.75
"Ethereum Up or Down - January 8, 4:45AM-5:00AM ET",09:44:55 AM,+$1.25
"Bitcoin Up or Down - January 8, 4AM ET",09:59:55 AM,$-30.79
"Ethereum Up or Down - January 8, 4AM ET",09:59:55 AM,$-54.51
