Timestamp,Date,Year,Month,Day,Hour,Minute,Second,Millisecond,Market Key,Market Name,Condition ID,Invested Up ($),Invested Down ($),Total Invested ($),Shares Up,Shares Down,Final Price Up ($),Final Price Down ($),Final Value Up ($),Final Value Down ($),Total Final Value ($),PnL Up ($),PnL Down ($),Total PnL ($),PnL Percent (%),Average Cost Per Share UP ($),Average Cost Per Share DOWN ($),Trades Up,Trades Down,Outcome,Market Switch Reason,Market Slug
1767699008042,2026-01-06T11:30:08.042Z,2026,1,6,11,30,8,42,ETH-UpDown-15,"Ethereum Up or Down - January 6, 6:45AM-7:00AM ET",0x42ad93089f3925f95a22b0a07b777d9c9817fce272e3d5449a120f24a5e073fd,2.26,0.03,2.29,2.2700,2.5300,0.4450,0.5550,1.01,1.40,2.41,-1.25,1.38,0.13,5.51,0.9969,0.0100,1,1,Profit,Market Closed,eth-updown-15m-1767699900
1767699012285,2026-01-06T11:30:12.285Z,2026,1,6,11,30,12,285,BTC-UpDown-1h-6,"Bitcoin Up or Down - January 6, 6AM ET",0xab1aa78bc055e61dac1f05ac47ec0e9f8cb9a91040e5e7ee31598ae21540c2a8,0.00,0.00,0.00,0.0000,0.0000,0.8149,0.1850,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0,0,Unknown,Market Closed,bitcoin-up-or-down-january-6-6am-et
1767699012314,2026-01-06T11:30:12.314Z,2026,1,6,11,30,12,314,ETH-UpDown-1h-6,"Ethereum Up or Down - January 6, 6AM ET",0xad0aacdd4c90d0ee1f03a7b6feeacc715714143656ddd12976f4af45fdaa87d7,0.00,0.00,0.00,0.0000,0.0000,0.8050,0.1950,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0,0,Unknown,Market Closed,ethereum-up-or-down-january-6-6am-et
1767699019959,2026-01-06T11:30:19.959Z,2026,1,6,11,30,19,959,BTC-UpDown-15,"Bitcoin Up or Down - January 6, 6:45AM-7:00AM ET (Snapshot at new market: Ethereum Up or Down - January 6, 6:30AM-6:45AM ET)",0x79c672394907c3d4dee5fe7b3e29118d3a83427cb37388ed86d579a339103aa6,4.93,18.71,23.64,12.3500,31.1400,0.9900,0.0100,12.23,0.31,12.54,7.29,-18.40,-11.11,-46.97,0.3994,0.6009,1,1,UP Won,New Market Snapshot,btc-updown-15m-1767699900
1767699902219,2026-01-06T11:45:02.219Z,2026,1,6,11,45,2,219,BTC-UpDown-15,"Bitcoin Up or Down - January 6, 7:00AM-7:15AM ET",0x79c672394907c3d4dee5fe7b3e29118d3a83427cb37388ed86d579a339103aa6,0.03,0.12,0.14,2.5300,0.1200,0.2950,0.7050,0.75,0.08,0.83,0.72,-0.03,0.69,475.15,0.0100,0.9934,1,1,Profit,Market Closed,btc-updown-15m-1767700800
1767699919351,2026-01-06T11:45:19.351Z,2026,1,6,11,45,19,351,BTC-UpDown-15,"Bitcoin Up or Down - January 6, 6:45AM-7:00AM ET (Snapshot at new market: Ethereum Up or Down - January 6, 6:45AM-7:00AM ET)",0xcc613a676b41902de0d44019d2aab4e79d49d9c574bd4924d0c3f6f30a933eea,18.37,3.45,21.82,28.4800,9.7200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.6451,0.3548,1,1,UP Lost,New Market Snapshot,btc-updown-15m-1767699900
1767700804982,2026-01-06T12:00:04.982Z,2026,1,6,12,0,4,982,BTC-UpDown-1h-7,"Bitcoin Up or Down - January 6, 7AM ET",0xfe621cf860f5f31740bd0bcf3344ce049b32fe1c108b41696c883c0f84606b5c,0.00,0.00,0.00,0.0000,0.0000,0.4700,0.5300,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0,0,Unknown,Market Closed,bitcoin-up-or-down-january-6-7am-et
1767700805012,2026-01-06T12:00:05.012Z,2026,1,6,12,0,5,12,ETH-UpDown-1h-7,"Ethereum Up or Down - January 6, 7AM ET",0x456f54fb73b3f98b80d01dc4e25447f1f387d71fc5ba0964d47c67bbd6f9e38f,0.00,0.00,0.00,0.0000,0.0000,0.3900,0.6100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0,0,Unknown,Market Closed,ethereum-up-or-down-january-6-7am-et
1767700820272,2026-01-06T12:00:20.272Z,2026,1,6,12,0,20,272,BTC-UpDown-15,"Bitcoin Up or Down - January 6, 7:15AM-7:30AM ET (Snapshot at new market: Ethereum Up or Down - January 6, 7:00AM-7:15AM ET)",0xd6077272a9831730a6d8b2aeaaa31e5f8f0251f0e1a6033d4d27e2747c65b137,14.96,13.63,28.59,28.5200,28.6900,0.9900,0.0100,28.23,0.29,28.52,13.27,-13.34,-0.07,-0.24,0.5247,0.4750,1,1,UP Won,New Market Snapshot,btc-updown-15m-1767701700
1767701719395,2026-01-06T12:15:19.395Z,2026,1,6,12,15,19,395,BTC-UpDown-15,"Bitcoin Up or Down - January 6, 7:15AM-7:30AM ET (Snapshot at new market: Ethereum Up or Down - January 6, 7:15AM-7:30AM ET)",0x4837d9910f9daefb515ab227c89bb5475a5b991392a3d73e360c19ca18088b62,14.89,14.61,29.51,29.5000,29.5300,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.5049,0.4948,1,1,UP Lost,New Market Snapshot,btc-updown-15m-1767701700
1767702619832,2026-01-06T12:30:19.832Z,2026,1,6,12,30,19,832,BTC-UpDown-15,"Bitcoin Up or Down - January 6, 7:30AM-7:45AM ET (Snapshot at new market: Ethereum Up or Down - January 6, 7:30AM-7:45AM ET)",0x5d23d892dd56dd90102c621fdc6876a7293cd4fb422ac8dad62a0aeb436e1705,5.12,18.72,23.84,12.6600,31.4300,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.4043,0.5958,1,1,UP Lost,New Market Snapshot,btc-updown-15m-1767702600
1767703520009,2026-01-06T12:45:20.009Z,2026,1,6,12,45,20,9,BTC-UpDown-15,"Bitcoin Up or Down - January 6, 7:45AM-8:00AM ET (Snapshot at new market: Ethereum Up or Down - January 6, 7:45AM-8:00AM ET)",0x178fb3cff91648b1c38b4f8a6f70258f4f19d142f27890c4e3b9163bf4b19fb4,15.02,11.53,26.55,26.3400,26.7900,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.5703,0.4305,1,1,UP Lost,New Market Snapshot,btc-updown-15m-1767703500
