Timestamp,Date,Year,Month,Day,Hour,Minute,Second,Millisecond,Market Key,Market Name,Condition ID,Invested Up ($),Invested Down ($),Total Invested ($),Shares Up,Shares Down,Final Price Up ($),Final Price Down ($),Final Value Up ($),Final Value Down ($),Total Final Value ($),PnL Up ($),PnL Down ($),Total PnL ($),PnL Percent (%),Average Cost Per Share UP ($),Average Cost Per Share DOWN ($),Trades Up,Trades Down,Outcome,Market Switch Reason,Market Slug
1767836664648,2026-01-08T01:44:24.648Z,2026,1,8,1,44,24,648,BTC-UpDown-15,"Bitcoin Up or Down - January 7, 8:30PM-8:45PM ET (Snapshot at new market: Bitcoin Up or Down - January 7, 8PM ET)",0xbe15dad6a3bf459c83b6f189faae9f4d56d7f40181d3760251d33993dbcb246e,0.02,5.10,5.12,3.9900,5.1300,0.0080,0.9920,0.03,5.09,5.12,0.01,-0.01,0.00,0.06,0.0055,0.9933,1,1,UP Lost,New Market Snapshot,btc-updown-15m-1767835800
1767836664730,2026-01-08T01:44:24.730Z,2026,1,8,1,44,24,730,BTC-UpDown-15,"Bitcoin Up or Down - January 7, 8:30PM-8:45PM ET (Snapshot at new market: Ethereum Up or Down - January 7, 8PM ET)",0xbe15dad6a3bf459c83b6f189faae9f4d56d7f40181d3760251d33993dbcb246e,0.02,5.10,5.12,3.9900,5.1300,0.0080,0.9920,0.03,5.09,5.12,0.01,-0.01,0.00,0.06,0.0055,0.9933,1,1,UP Lost,New Market Snapshot,btc-updown-15m-1767835800
1767836664756,2026-01-08T01:44:24.756Z,2026,1,8,1,44,24,756,BTC-UpDown-1h-8,"Bitcoin Up or Down - January 7, 8PM ET (Snapshot at new market: Ethereum Up or Down - January 7, 8PM ET)",0x950c70e26777c19973a4430579ea2940b2a212d8d57a7958898af123a060cf0e,4.15,15.16,19.31,10.3800,25.2800,0.4450,0.5550,4.62,14.03,18.65,0.47,-1.13,-0.66,-3.41,0.3994,0.5997,1,1,Loss,New Market Snapshot,bitcoin-up-or-down-january-7-8pm-et
1767836702463,2026-01-08T01:45:02.463Z,2026,1,8,1,45,2,463,ETH-UpDown-15,"Ethereum Up or Down - January 7, 9:00PM-9:15PM ET",0x2774f4cbd9b36c1e4694ba39f81acbfef765c90e4ebd0f379ff34f129fe19e9b,0.03,0.00,0.03,2.5300,0.0000,0.0050,0.9950,0.01,0.00,0.01,-0.01,0.00,-0.01,-49.99,0.0100,,1,0,UP Lost,Market Closed,eth-updown-15m-1767837600
1767836706400,2026-01-08T01:45:06.400Z,2026,1,8,1,45,6,400,BTC-UpDown-1h-8,"Bitcoin Up or Down - January 7, 8PM ET (Snapshot at new market: Ethereum Up or Down - January 7, 8:30PM-8:45PM ET)",0x950c70e26777c19973a4430579ea2940b2a212d8d57a7958898af123a060cf0e,42.29,69.72,112.01,111.8300,112.7000,0.4450,0.5550,49.76,62.55,112.31,7.48,-7.17,0.31,0.27,0.3782,0.6186,12,11,Profit,New Market Snapshot,bitcoin-up-or-down-january-7-8pm-et
1767836706435,2026-01-08T01:45:06.435Z,2026,1,8,1,45,6,435,ETH-UpDown-1h-8,"Ethereum Up or Down - January 7, 8PM ET (Snapshot at new market: Ethereum Up or Down - January 7, 8:30PM-8:45PM ET)",0x85feb727aed555ac9abac5773e9d1a50b7df314e7c10ec6e7dfc319193845d4c,13.87,5.40,19.27,19.1000,19.8000,0.6600,0.3400,12.61,6.73,19.34,-1.27,1.33,0.07,0.34,0.7263,0.2727,1,4,Profit,New Market Snapshot,ethereum-up-or-down-january-7-8pm-et
1767836712628,2026-01-08T01:45:12.628Z,2026,1,8,1,45,12,628,BTC-UpDown-1h-8,"Bitcoin Up or Down - January 7, 8PM ET (Snapshot at new market: Ethereum Up or Down - January 7, 8:30PM-8:45PM ET)",0x950c70e26777c19973a4430579ea2940b2a212d8d57a7958898af123a060cf0e,42.29,69.72,112.01,111.8300,112.7000,0.4450,0.5550,49.76,62.55,112.31,7.48,-7.17,0.31,0.27,0.3782,0.6186,12,11,Profit,New Market Snapshot,bitcoin-up-or-down-january-7-8pm-et
1767836712720,2026-01-08T01:45:12.720Z,2026,1,8,1,45,12,720,ETH-UpDown-1h-8,"Ethereum Up or Down - January 7, 8PM ET (Snapshot at new market: Ethereum Up or Down - January 7, 8:30PM-8:45PM ET)",0x85feb727aed555ac9abac5773e9d1a50b7df314e7c10ec6e7dfc319193845d4c,13.87,5.40,19.27,19.1000,19.8000,0.6600,0.3400,12.61,6.73,19.34,-1.27,1.33,0.07,0.34,0.7263,0.2727,1,4,Profit,New Market Snapshot,ethereum-up-or-down-january-7-8pm-et
1767836715823,2026-01-08T01:45:15.823Z,2026,1,8,1,45,15,823,BTC-UpDown-1h-8,"Bitcoin Up or Down - January 7, 8PM ET (Snapshot at new market: Ethereum Up or Down - January 7, 8:30PM-8:45PM ET)",0x950c70e26777c19973a4430579ea2940b2a212d8d57a7958898af123a060cf0e,42.29,69.72,112.01,111.8300,112.7000,0.4450,0.5550,49.76,62.55,112.31,7.48,-7.17,0.31,0.27,0.3782,0.6186,12,11,Profit,New Market Snapshot,bitcoin-up-or-down-january-7-8pm-et
1767836715855,2026-01-08T01:45:15.855Z,2026,1,8,1,45,15,855,ETH-UpDown-1h-8,"Ethereum Up or Down - January 7, 8PM ET (Snapshot at new market: Ethereum Up or Down - January 7, 8:30PM-8:45PM ET)",0x85feb727aed555ac9abac5773e9d1a50b7df314e7c10ec6e7dfc319193845d4c,13.87,6.86,20.73,19.1000,25.0200,0.6600,0.3400,12.61,8.51,21.11,-1.27,1.65,0.38,1.83,0.7263,0.2742,1,5,Profit,New Market Snapshot,ethereum-up-or-down-january-7-8pm-et
1767836717982,2026-01-08T01:45:17.982Z,2026,1,8,1,45,17,982,BTC-UpDown-1h-8,"Bitcoin Up or Down - January 7, 8PM ET (Snapshot at new market: Ethereum Up or Down - January 7, 8:30PM-8:45PM ET)",0x950c70e26777c19973a4430579ea2940b2a212d8d57a7958898af123a060cf0e,42.29,69.72,112.01,111.8300,112.7000,0.4450,0.5550,49.76,62.55,112.31,7.48,-7.17,0.31,0.27,0.3782,0.6186,12,11,Profit,New Market Snapshot,bitcoin-up-or-down-january-7-8pm-et
1767836718016,2026-01-08T01:45:18.016Z,2026,1,8,1,45,18,16,ETH-UpDown-1h-8,"Ethereum Up or Down - January 7, 8PM ET (Snapshot at new market: Ethereum Up or Down - January 7, 8:30PM-8:45PM ET)",0x85feb727aed555ac9abac5773e9d1a50b7df314e7c10ec6e7dfc319193845d4c,16.01,8.32,24.33,22.0800,30.2400,0.6600,0.3400,14.57,10.28,24.85,-1.44,1.96,0.52,2.14,0.7253,0.2751,2,6,Profit,New Market Snapshot,ethereum-up-or-down-january-7-8pm-et
1767836721342,2026-01-08T01:45:21.342Z,2026,1,8,1,45,21,342,BTC-UpDown-1h-8,"Bitcoin Up or Down - January 7, 8PM ET (Snapshot at new market: Ethereum Up or Down - January 7, 8:30PM-8:45PM ET)",0x950c70e26777c19973a4430579ea2940b2a212d8d57a7958898af123a060cf0e,42.29,69.72,112.01,111.8300,112.7000,0.4450,0.5550,49.76,62.55,112.31,7.48,-7.17,0.31,0.27,0.3782,0.6186,12,11,Profit,New Market Snapshot,bitcoin-up-or-down-january-7-8pm-et
1767836721385,2026-01-08T01:45:21.385Z,2026,1,8,1,45,21,385,ETH-UpDown-1h-8,"Ethereum Up or Down - January 7, 8PM ET (Snapshot at new market: Ethereum Up or Down - January 7, 8:30PM-8:45PM ET)",0x85feb727aed555ac9abac5773e9d1a50b7df314e7c10ec6e7dfc319193845d4c,19.03,10.39,29.42,26.4800,36.8200,0.6600,0.3400,17.48,12.52,30.00,-1.55,2.13,0.58,1.97,0.7185,0.2822,3,7,Profit,New Market Snapshot,ethereum-up-or-down-january-7-8pm-et
1767836722513,2026-01-08T01:45:22.513Z,2026,1,8,1,45,22,513,BTC-UpDown-1h-8,"Bitcoin Up or Down - January 7, 8PM ET (Snapshot at new market: Ethereum Up or Down - January 7, 8:30PM-8:45PM ET)",0x950c70e26777c19973a4430579ea2940b2a212d8d57a7958898af123a060cf0e,43.83,75.14,118.96,117.2400,120.2900,0.4450,0.5550,52.17,66.76,118.93,8.34,-8.37,-0.03,-0.03,0.3738,0.6246,13,12,Loss,New Market Snapshot,bitcoin-up-or-down-january-7-8pm-et
1767836722543,2026-01-08T01:45:22.543Z,2026,1,8,1,45,22,543,ETH-UpDown-1h-8,"Ethereum Up or Down - January 7, 8PM ET (Snapshot at new market: Ethereum Up or Down - January 7, 8:30PM-8:45PM ET)",0x85feb727aed555ac9abac5773e9d1a50b7df314e7c10ec6e7dfc319193845d4c,19.03,10.39,29.42,26.4800,36.8200,0.6600,0.3400,17.48,12.52,30.00,-1.55,2.13,0.58,1.97,0.7185,0.2822,3,7,Profit,New Market Snapshot,ethereum-up-or-down-january-7-8pm-et
1767836725863,2026-01-08T01:45:25.863Z,2026,1,8,1,45,25,863,BTC-UpDown-1h-8,"Bitcoin Up or Down - January 7, 8PM ET (Snapshot at new market: Ethereum Up or Down - January 7, 8:45PM-9:00PM ET)",0x950c70e26777c19973a4430579ea2940b2a212d8d57a7958898af123a060cf0e,45.21,79.87,125.08,122.2800,126.8200,0.4450,0.5550,54.41,70.39,124.80,9.20,-9.48,-0.28,-0.22,0.3697,0.6298,14,13,Loss,New Market Snapshot,bitcoin-up-or-down-january-7-8pm-et
1767836725966,2026-01-08T01:45:25.966Z,2026,1,8,1,45,25,966,ETH-UpDown-1h-8,"Ethereum Up or Down - January 7, 8PM ET (Snapshot at new market: Ethereum Up or Down - January 7, 8:45PM-9:00PM ET)",0x85feb727aed555ac9abac5773e9d1a50b7df314e7c10ec6e7dfc319193845d4c,22.85,12.46,35.31,32.0700,43.4000,0.6600,0.3400,21.17,14.76,35.92,-1.68,2.29,0.61,1.73,0.7125,0.2872,4,8,Profit,New Market Snapshot,ethereum-up-or-down-january-7-8pm-et
1767836725995,2026-01-08T01:45:25.995Z,2026,1,8,1,45,25,995,BTC-UpDown-15,"Bitcoin Up or Down - January 7, 9:00PM-9:15PM ET (Snapshot at new market: Ethereum Up or Down - January 7, 8:45PM-9:00PM ET)",0x161ed33962ab430da960bb6ce492c2c134e9e035b6a4f8c5af3996900bf7f3b7,4.76,18.66,23.42,12.0400,30.8400,0.0100,0.9995,0.12,30.82,30.94,-4.64,12.16,7.53,32.13,0.3950,0.6052,1,1,UP Lost,New Market Snapshot,btc-updown-15m-1767837600
