Timestamp,Date,Time,Trade ID,Side,Market,Outcome,Condition ID,Token ID,Size,Price,USDC Value,Fees,Balance After,Strategy,Status
2026-01-08T09:37:15.026Z,1/8/2026,9:37:15 AM,paper_1767865035026_et3rjlms0,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Down,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,8138229401522231884071216923945896157334321223208568963881426495611657873948,3.7000,0.2253,0.83,0.0008,9933.27,inventory-rebalancing,filled
2026-01-08T09:37:15.082Z,1/8/2026,9:37:15 AM,paper_1767865035082_rv97zhxm0,BUY,"Ethereum Up or Down - January 8, 4:30AM-4:45AM ET",Down,0xdc37a8cd6fc096598c8321a616e8e16788285dc9c349133b2e06465524298f27,105638751084143985816965754910383649127850909115592222495300235154769821092213,2.3800,0.1598,0.38,0.0004,9932.89,inventory-rebalancing,filled
2026-01-08T09:37:16.116Z,1/8/2026,9:37:16 AM,paper_1767865036116_29lnny0dw,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Down,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,8138229401522231884071216923945896157334321223208568963881426495611657873948,3.7000,0.2246,0.83,0.0008,9932.06,inventory-rebalancing,filled
2026-01-08T09:37:16.155Z,1/8/2026,9:37:16 AM,paper_1767865036155_k5w2regxi,BUY,"Ethereum Up or Down - January 8, 4:30AM-4:45AM ET",Down,0xdc37a8cd6fc096598c8321a616e8e16788285dc9c349133b2e06465524298f27,105638751084143985816965754910383649127850909115592222495300235154769821092213,2.3800,0.1598,0.38,0.0004,9931.68,inventory-rebalancing,filled
2026-01-08T09:37:17.186Z,1/8/2026,9:37:17 AM,paper_1767865037186_9rzswa6wl,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Down,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,8138229401522231884071216923945896157334321223208568963881426495611657873948,3.3300,0.2146,0.71,0.0007,9930.97,inventory-rebalancing,filled
2026-01-08T09:37:17.214Z,1/8/2026,9:37:17 AM,paper_1767865037214_z5wt5pwvw,BUY,"Bitcoin Up or Down - January 8, 4AM ET",Up,0xfef81c17d219dc9046381d40c3597ca270ee6206ccf644c72f1df3447606946e,99073299906610559393868830935772287279324248447052575948194928745976970597921,3.9900,0.2452,0.98,0.0010,9929.99,inventory-rebalancing,filled
2026-01-08T09:37:17.261Z,1/8/2026,9:37:17 AM,paper_1767865037261_mvwgwnxfi,BUY,"Ethereum Up or Down - January 8, 4AM ET",Up,0xd2e93f9547a8ac8f24b1f3d15ed6dcab0bd2809807fc29b498239f1fe1511510,89136115008613215795433808313370674124301070276837970023710004548506505497693,4.3300,0.2550,1.10,0.0011,9928.88,inventory-rebalancing,filled
2026-01-08T09:37:18.291Z,1/8/2026,9:37:18 AM,paper_1767865038291_f9ycqr1l0,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Down,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,8138229401522231884071216923945896157334321223208568963881426495611657873948,3.3300,0.2151,0.72,0.0007,9928.16,inventory-rebalancing,filled
2026-01-08T09:37:19.325Z,1/8/2026,9:37:19 AM,paper_1767865039325_zi0mrggs8,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Down,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,8138229401522231884071216923945896157334321223208568963881426495611657873948,3.3300,0.2147,0.71,0.0007,9927.45,inventory-rebalancing,filled
2026-01-08T09:37:20.358Z,1/8/2026,9:37:20 AM,paper_1767865040358_t8omyxiat,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Up,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,49276788276691603062445197795788007088227933641772975227863859726509662377204,0.4800,0.7860,0.38,0.0004,9927.07,inventory-rebalancing,filled
2026-01-08T09:37:20.393Z,1/8/2026,9:37:20 AM,paper_1767865040393_x73ywtez6,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Down,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,8138229401522231884071216923945896157334321223208568963881426495611657873948,3.3300,0.2148,0.72,0.0007,9926.35,inventory-rebalancing,filled
2026-01-08T09:37:20.417Z,1/8/2026,9:37:20 AM,paper_1767865040417_70wtzyteb,BUY,"Bitcoin Up or Down - January 8, 4AM ET",Up,0xfef81c17d219dc9046381d40c3597ca270ee6206ccf644c72f1df3447606946e,99073299906610559393868830935772287279324248447052575948194928745976970597921,3.6600,0.2351,0.86,0.0009,9925.49,inventory-rebalancing,filled
2026-01-08T09:37:20.444Z,1/8/2026,9:37:20 AM,paper_1767865040444_nm20yk35k,BUY,"Ethereum Up or Down - January 8, 4AM ET",Up,0xd2e93f9547a8ac8f24b1f3d15ed6dcab0bd2809807fc29b498239f1fe1511510,89136115008613215795433808313370674124301070276837970023710004548506505497693,4.3300,0.2552,1.10,0.0011,9924.39,inventory-rebalancing,filled
2026-01-08T09:37:21.472Z,1/8/2026,9:37:21 AM,paper_1767865041472_jzkqxc26u,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Up,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,49276788276691603062445197795788007088227933641772975227863859726509662377204,2.0900,0.7849,1.64,0.0016,9922.74,inventory-rebalancing,filled
2026-01-08T09:37:21.505Z,1/8/2026,9:37:21 AM,paper_1767865041505_el3oa4gqi,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Down,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,8138229401522231884071216923945896157334321223208568963881426495611657873948,3.3300,0.2146,0.71,0.0007,9922.03,inventory-rebalancing,filled
2026-01-08T09:37:22.535Z,1/8/2026,9:37:22 AM,paper_1767865042535_nothxvnkz,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Up,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,49276788276691603062445197795788007088227933641772975227863859726509662377204,1.9400,0.7859,1.52,0.0015,9920.50,inventory-rebalancing,filled
2026-01-08T09:37:22.622Z,1/8/2026,9:37:22 AM,paper_1767865042622_gj0y7ncby,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Down,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,8138229401522231884071216923945896157334321223208568963881426495611657873948,3.3300,0.2152,0.72,0.0007,9919.79,inventory-rebalancing,filled
2026-01-08T09:37:23.649Z,1/8/2026,9:37:23 AM,paper_1767865043649_jllpudorz,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Up,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,49276788276691603062445197795788007088227933641772975227863859726509662377204,1.8900,0.7962,1.50,0.0015,9918.28,inventory-rebalancing,filled
2026-01-08T09:37:23.680Z,1/8/2026,9:37:23 AM,paper_1767865043680_2sl4xc7bj,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Down,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,8138229401522231884071216923945896157334321223208568963881426495611657873948,2.9700,0.2052,0.61,0.0006,9917.67,inventory-rebalancing,filled
2026-01-08T09:37:23.704Z,1/8/2026,9:37:23 AM,paper_1767865043704_4subfu9f0,BUY,"Bitcoin Up or Down - January 8, 4AM ET",Up,0xfef81c17d219dc9046381d40c3597ca270ee6206ccf644c72f1df3447606946e,99073299906610559393868830935772287279324248447052575948194928745976970597921,3.9900,0.2454,0.98,0.0010,9916.69,inventory-rebalancing,filled
